,F_P,F_R,F_F1,F_F2,Q_P,Q_R,Q_F1,Q_F2,onlyF_P,onlyF_R,onlyF_F1,onlyF_F2,onlyQ_P,onlyQ_R,onlyQ_F1,onlyQ_F2
Zero-shot,0.7076,1.0548,0.7834,0.9652,0.6802,1.0444,0.7489,0.8720,0.2918,0.0365,0.0240,0.1026,0.9886,0.4473,0.5453,0.4516
Few-shot,0.8282,0.9939,0.8993,0.9813,0.9894,0.3208,0.5487,0.4234,0.7506,1.0380,0.8434,0.9431,0.8595,0.2936,0.4525,0.3103
CoT,0.8752,0.9836,0.8649,0.9027,0.9611,0.5898,0.7682,0.6197,0.7952,0.8879,0.8453,0.8530,0.9578,0.5700,0.6465,0.5675
CoT U Few-shot,0.7877,0.9532,0.8786,0.9947,1.0202,0.4121,0.5730,0.5019,0.8201,1.0620,0.8815,1.0165,0.9335,0.5045,0.6478,0.5352
APE-fixed (10),0.9007,0.9184,0.9225,0.9416,0.8959,0.7630,0.8375,0.8435,0.8092,0.9604,0.8077,0.9655,0.8440,0.6601,0.7599,0.6507
APE-fixed (20),0.9112,0.9738,0.9229,0.9001,0.8317,0.8499,0.7811,0.8205,0.7542,0.9711,0.8390,0.9435,0.8963,0.6650,0.7617,0.6404
APE-fixed (30),0.9050,0.9872,0.8833,0.9807,0.8631,0.8020,0.7723,0.8253,0.8418,0.8344,0.8335,0.8376,0.9244,0.6409,0.6860,0.6639
APE (10),0.9560,0.9102,0.9256,0.9306,0.7838,0.8586,0.7723,0.7865,0.7582,0.9563,0.8371,0.9186,0.9284,0.5889,0.7163,0.6848
APE (20),0.9003,0.9096,0.9263,0.9115,0.8426,0.8489,0.7368,0.8176,0.7485,0.9268,0.8942,0.8982,0.9098,0.6492,0.7609,0.6752
APE (30),0.9733,0.9629,0.9162,0.9134,0.7826,0.8902,0.7905,0.8471,0.7539,0.9476,0.8843,0.9569,0.9121,0.6456,0.7130,0.6332
