label,ZeroShot,COT,FewShot,COT_with_examples,APE
Quality,Quality,Non-Quality,Quality,Quality,Quality
Non-Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
Quality,Quality,Quality,Non-Quality,Quality,Quality
Non-Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
Quality,Quality,Quality,Quality,Non-Quality,Quality
Non-Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
Non-Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
Non-Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
Non-Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
Quality,Quality,Non-Quality,Quality,Non-Quality,Quality
Quality,Quality,Quality,Quality,Quality,Quality
Quality,Quality,Quality,Quality,Quality,Quality
Non-Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
Non-Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
Quality,Quality,Quality,Non-Quality,Non-Quality,Non-Quality
Non-Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
Quality,Quality,Quality,Quality,Quality,Quality
Quality,Quality,Quality,Non-Quality,Quality,Quality
Non-Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
Quality,Quality,Quality,Non-Quality,Quality,Quality
Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
Quality,Quality,Quality,Quality,Quality,Quality
Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
Quality,Quality,Quality,Quality,Quality,Quality
Non-Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
Non-Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
